Business Segment,Department,Unit,Abbreviated Name,Source,Notes
NBPOL Head Office,Legal,Legal,NBPOLHO_LEGAL,PROPOSED,Client left code blank; unit mirrors department
NBPOL Head Office,Transformation,Transformation,NBPOLHO_TRANSFORM,PROPOSED,Client left code blank; unit mirrors department
NBPOL Head Office,Group Corporate Assurance,Group Corporate Assurance,NBPOLHO_GCA,Client,Client left Unit blank - unit mirrors department
NBPOL Head Office,Engineering & Mill Services,Engineering Services,NBPOLHO_EMS_ES,Client,
NBPOL Head Office,Performance Management Unit,Standard Crop Recovery Assessment,NBPOLHO_SCRA,Client,
NBPOL Head Office,Corporate Development & Services,Upstream Support,NBPOLHO_UPSUPPORT,Client,
NBPOL Head Office,Chief Operating Officer's Office,Chief Operating Officer's Office,NBPOLHO_COO,PROPOSED,Client left code blank; unit mirrors department
NBPOL Head Office,Finance,Tax,NBPOLHO_FIN_TAX,PROPOSED,Client left code blank
NBPOL Head Office,Finance,Finance Reporting,NBPOLHO_FIN_REPORTING,PROPOSED,Client left code blank
NBPOL Head Office,NBPOL Procurement,Corporate Office,NBPOLHO_PROC_CO,Client,
NBPOL Head Office,Information Technology,NBPOL IT Application Development,NBPOLHO_IT_APPDEV,PROPOSED,Client left code blank
NBPOL Head Office,Information Technology,NBPOL IT SAP Support,NBPOLHO_IT_SAP,PROPOSED,Client left code blank
NBPOL Head Office,Human Resources,HR Strategy & Talent,NBPOLHO_HR_STRATTALENT,PROPOSED,Client left code blank
NBPOL Head Office,Human Resources,HR Operations,NBPOLHO_HR_OPS,PROPOSED,Client left code blank
NBPOL Head Office,Human Resources,Management Academy,NBPOLHO_HR_MGMTACAD,PROPOSED,Client left code blank
NBPOL Head Office,Human Resources,Travel,NBPOLHO_HR_TRAVEL,PROPOSED,Client left code blank
NBPOL Head Office,Human Resources,HRMIS,NBPOLHO_HR_HRMIS,PROPOSED,Client left code blank
NBPOL Head Office,Commercial,Commercial,NBPOLHO_COMMERCIAL,PROPOSED,Client left code blank; unit mirrors department
