Group,People,Members,Segment,Roles,Mappings
GHO_GHR_TS_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_GIGA_GCAIT_ANALYTICS_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_GIGA_GCA_SDGI_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_GIGA_GCA_UPMY_RDHO_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_GIGA_GIG_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_GIGA_GRCRM_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_GIGA_PM_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_GLRC_GCO_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_GLRC_LEGAL_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_GLRC_RISK_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_GS_CLIMATE_CR_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_GS_CNB_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_GS_GLOBALHSE_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_GS_SC_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_GS_SDGI HSE_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_GS_SSC_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_PO_SP_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_PO_SPDNSTRM_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_PO_SPMID_INVT_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_PO_SP_MY_ID_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_PO_SP_PNGSI_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_PO_STRATGOV_COMMS_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_CC_CSR_OPSCOMMS_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_CC_INEXCOMMS_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_CEOOA_EXPATF_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_CEOOA_GABM_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
